iter	Passed	Remaining
0	144	144355
1	145	72667
2	146	48689
3	147	36666
4	148	29466
5	148	24644
6	149	21202
7	150	18627
8	150	16611
9	151	14999
10	152	13683
11	152	12582
12	153	11649
13	154	10857
14	154	10165
15	155	9557
16	156	9022
17	156	8546
18	157	8119
19	157	7736
20	158	7390
21	159	7074
22	159	6785
23	160	6523
24	161	6280
25	161	6056
26	162	5848
27	162	5655
28	164	5510
29	165	5347
30	166	5189
31	166	5041
32	167	4902
33	167	4771
34	168	4647
35	169	4530
36	169	4421
37	170	4316
38	171	4218
39	171	4124
40	172	4035
41	173	3951
42	173	3870
43	174	3793
44	175	3717
45	175	3647
46	176	3580
47	177	3516
48	178	3462
49	179	3402
50	179	3345
51	180	3289
52	181	3234
53	181	3182
54	182	3132
55	182	3083
56	183	3036
57	184	2990
58	184	2946
59	185	2904
60	185	2863
61	186	2823
62	187	2784
63	187	2747
64	188	2711
65	189	2675
66	189	2642
67	190	2614
68	191	2582
69	192	2551
70	193	2526
71	193	2497
72	194	2472
73	195	2445
74	196	2419
75	196	2392
76	197	2366
77	198	2341
78	198	2316
79	199	2292
80	199	2268
81	200	2245
82	200	2220
83	201	2198
84	202	2177
85	202	2156
86	203	2136
87	204	2116
88	205	2100
89	206	2083
90	206	2065
91	207	2047
92	208	2030
93	208	2013
94	209	1996
95	210	1980
96	210	1963
97	211	1946
98	212	1930
99	212	1914
100	213	1898
101	213	1883
102	214	1868
103	215	1853
104	215	1838
105	216	1824
106	217	1811
107	217	1797
108	218	1784
109	219	1772
110	219	1759
111	220	1746
112	220	1734
113	221	1722
114	222	1710
115	222	1698
116	223	1686
117	224	1674
118	224	1663
119	225	1652
120	225	1641
121	226	1629
122	227	1618
123	227	1608
124	228	1597
125	228	1587
126	229	1576
127	229	1566
128	230	1556
129	231	1547
130	231	1537
131	232	1527
132	232	1518
133	233	1509
134	234	1500
135	234	1491
136	235	1482
137	235	1474
138	236	1465
139	237	1457
140	237	1449
141	238	1440
142	239	1432
143	239	1424
144	240	1416
145	240	1409
146	241	1401
147	242	1393
148	242	1386
149	243	1378
150	243	1371
151	244	1364
152	245	1357
153	245	1349
154	246	1342
155	246	1336
156	247	1329
157	248	1322
158	248	1316
159	249	1309
160	249	1302
161	250	1296
162	251	1290
163	251	1284
164	252	1278
165	253	1273
166	254	1267
167	254	1261
168	255	1256
169	256	1250
170	256	1245
171	257	1240
172	258	1234
173	259	1229
174	259	1224
175	260	1218
176	260	1213
177	261	1208
178	262	1202
179	262	1197
180	263	1192
181	264	1187
182	264	1181
183	265	1177
184	266	1172
185	266	1167
186	267	1162
187	268	1157
188	268	1153
189	269	1148
190	269	1143
191	270	1138
192	271	1133
193	271	1128
194	272	1124
195	272	1119
196	273	1114
197	274	1110
198	274	1105
199	275	1101
200	275	1096
201	276	1092
202	277	1087
203	277	1083
204	278	1078
205	278	1074
206	279	1070
207	279	1065
208	280	1061
209	281	1057
210	281	1053
211	282	1049
212	282	1045
213	283	1041
214	284	1037
215	284	1033
216	285	1029
217	285	1025
218	286	1021
219	286	1017
220	287	1013
221	288	1009
222	288	1006
223	289	1002
224	289	998
225	290	994
226	291	991
227	291	987
228	292	983
229	292	980
230	293	976
231	293	973
232	294	969
233	295	966
234	295	962
235	296	959
236	296	956
237	297	952
238	298	949
239	298	946
240	299	942
241	300	939
242	300	936
243	301	933
244	301	929
245	302	926
246	302	923
247	303	920
248	304	916
249	304	913
250	305	910
251	305	907
252	306	904
253	306	901
254	307	898
255	308	895
256	308	892
257	309	889
258	309	886
259	310	883
260	311	881
261	311	878
262	312	875
263	313	872
264	313	869
265	314	867
266	314	864
267	315	861
268	315	858
269	316	855
270	317	853
271	317	850
272	318	847
273	319	845
274	319	842
275	320	839
276	320	837
277	321	834
278	322	832
279	322	829
280	323	827
281	323	824
282	324	822
283	325	819
284	325	817
285	326	815
286	327	812
287	327	810
288	328	807
289	329	805
290	329	803
291	330	800
292	330	798
293	331	795
294	331	793
295	332	790
296	333	788
297	333	786
298	334	783
299	334	781
300	335	778
301	335	776
302	336	774
303	337	771
304	337	769
305	338	767
306	338	765
307	339	762
308	340	760
309	340	758
310	341	756
311	341	754
312	342	751
313	343	749
314	343	747
315	344	745
316	344	743
317	345	741
318	346	738
319	346	736
320	347	734
321	347	732
322	348	730
323	348	728
324	349	726
325	350	723
326	350	721
327	351	720
328	352	718
329	353	716
330	353	714
331	354	712
332	354	711
333	355	709
334	356	707
335	356	705
336	357	703
337	357	700
338	358	699
339	359	696
340	359	694
341	360	692
342	360	690
343	361	688
344	361	687
345	362	685
346	363	683
347	363	681
348	364	679
349	364	677
350	365	675
351	365	673
352	366	671
353	367	669
354	367	668
355	368	666
356	368	664
357	369	662
358	370	661
359	371	659
360	371	657
361	372	656
362	372	654
363	373	652
364	374	651
365	374	649
366	375	647
367	376	646
368	376	644
369	377	642
370	378	641
371	378	639
372	379	637
373	380	636
374	381	635
375	381	633
376	382	631
377	383	630
378	383	628
379	384	627
380	385	625
381	385	624
382	387	623
383	387	622
384	388	620
385	389	619
386	389	617
387	390	615
388	390	614
389	391	612
390	392	610
391	392	609
392	393	607
393	393	605
394	394	604
395	395	602
396	395	601
397	396	599
398	396	597
399	397	596
400	398	594
401	398	593
402	399	591
403	400	590
404	400	588
405	401	587
406	402	585
407	402	584
408	403	582
409	403	581
410	404	579
411	405	578
412	405	576
413	406	575
414	406	573
415	407	571
416	408	570
417	408	568
418	409	567
419	409	565
420	410	564
421	410	562
422	411	561
423	412	559
424	412	558
425	413	557
426	414	555
427	414	554
428	415	552
429	415	551
430	416	550
431	417	548
432	417	547
433	418	545
434	419	544
435	419	542
436	420	541
437	420	540
438	421	538
439	422	537
440	422	535
441	423	534
442	424	533
443	424	531
444	425	530
445	425	529
446	426	527
447	427	526
448	427	524
449	428	523
450	429	522
451	429	521
452	430	519
453	431	518
454	431	517
455	432	515
456	433	514
457	433	513
458	434	511
459	434	510
460	435	509
461	436	507
462	436	506
463	437	505
464	437	503
465	438	502
466	439	501
467	439	499
468	440	498
469	440	497
470	441	495
471	442	494
472	442	493
473	443	491
474	444	490
475	444	489
476	445	488
477	446	487
478	447	486
479	447	485
480	448	483
481	449	482
482	449	481
483	450	480
484	451	479
485	451	477
486	452	476
487	453	475
488	453	474
489	454	473
490	455	471
491	456	470
492	456	469
493	457	468
494	458	467
495	459	466
496	459	465
497	460	464
498	461	463
499	462	462
500	463	461
501	464	460
502	465	459
503	465	458
504	466	457
505	467	456
506	468	455
507	469	454
508	470	453
509	471	453
510	472	452
511	473	451
512	474	450
513	475	449
514	476	448
515	477	447
516	478	446
517	478	445
518	479	444
519	480	443
520	480	442
521	481	440
522	482	439
523	482	438
524	483	437
525	484	436
526	485	435
527	485	434
528	486	433
529	487	432
530	488	431
531	489	430
532	490	429
533	491	428
534	492	427
535	493	426
536	493	425
537	494	424
538	495	423
539	495	422
540	496	421
541	497	420
542	498	419
543	498	418
544	499	417
545	500	416
546	501	414
547	501	413
548	502	412
549	503	411
550	504	410
551	505	409
552	505	408
553	506	407
554	507	406
555	508	405
556	508	404
557	509	403
558	510	402
559	511	401
560	511	400
561	512	399
562	513	398
563	513	397
564	514	396
565	515	395
566	515	393
567	516	392
568	517	392
569	518	391
570	519	390
571	520	389
572	521	388
573	522	387
574	523	386
575	523	385
576	524	384
577	525	383
578	526	382
579	527	381
580	528	380
581	529	380
582	529	379
583	530	378
584	533	378
585	533	377
586	534	376
587	535	375
588	536	374
589	536	373
590	537	372
591	538	371
592	539	370
593	539	369
594	540	368
595	541	367
596	542	365
597	542	364
598	543	363
599	544	362
600	544	361
601	545	360
602	546	359
603	546	358
604	547	357
605	548	356
606	548	355
607	549	354
608	550	353
609	550	352
610	551	351
611	552	350
612	552	348
613	553	347
614	554	346
615	554	345
616	555	344
617	555	343
618	556	342
619	557	341
620	557	340
621	558	339
622	558	338
623	559	337
624	560	336
625	560	334
626	561	333
627	561	332
628	562	331
629	563	330
630	563	329
631	564	328
632	565	327
633	565	326
634	566	325
635	567	324
636	567	323
637	568	322
638	569	321
639	569	320
640	570	319
641	570	318
642	571	317
643	572	316
644	572	315
645	573	314
646	574	313
647	574	312
648	575	311
649	575	310
650	576	309
651	577	308
652	577	307
653	578	306
654	579	305
655	580	304
656	581	303
657	581	302
658	582	301
659	583	300
660	583	299
661	584	298
662	585	297
663	585	296
664	586	295
665	587	294
666	587	293
667	588	292
668	588	291
669	589	290
670	590	289
671	590	288
672	591	287
673	592	286
674	593	285
675	593	284
676	594	283
677	595	282
678	595	281
679	596	280
680	597	279
681	597	278
682	598	277
683	599	276
684	599	275
685	600	274
686	601	273
687	601	272
688	602	271
689	603	270
690	603	270
691	604	269
692	605	268
693	606	267
694	606	266
695	607	265
696	608	264
697	609	263
698	610	262
699	610	261
700	611	260
701	612	259
702	612	258
703	613	257
704	614	256
705	614	255
706	615	255
707	615	254
708	616	253
709	617	252
710	618	251
711	618	250
712	619	249
713	620	248
714	620	247
715	621	246
716	622	245
717	622	244
718	623	243
719	624	242
720	624	241
721	625	240
722	626	239
723	626	238
724	627	238
725	628	237
726	628	236
727	629	235
728	630	234
729	631	233
730	631	232
731	632	231
732	632	230
733	633	229
734	634	228
735	634	227
736	635	226
737	636	225
738	636	224
739	637	224
740	638	223
741	638	222
742	639	221
743	640	220
744	640	219
745	641	218
746	641	217
747	642	216
748	643	215
749	643	214
750	644	213
751	645	212
752	645	211
753	646	210
754	646	209
755	647	208
756	648	208
757	648	207
758	649	206
759	650	205
760	650	204
761	651	203
762	651	202
763	652	201
764	653	200
765	654	199
766	654	198
767	655	198
768	656	197
769	657	196
770	657	195
771	658	194
772	659	193
773	659	192
774	660	191
775	661	190
776	661	189
777	662	189
778	663	188
779	664	187
780	665	186
781	665	185
782	666	184
783	667	183
784	668	183
785	668	182
786	669	181
787	670	180
788	671	179
789	671	178
790	672	177
791	673	176
792	674	175
793	674	175
794	675	174
795	676	173
796	676	172
797	677	171
798	678	170
799	678	169
800	679	168
801	680	167
802	680	167
803	681	166
804	682	165
805	682	164
806	683	163
807	683	162
808	684	161
809	685	160
810	685	159
811	686	158
812	687	158
813	687	157
814	688	156
815	688	155
816	689	154
817	689	153
818	690	152
819	691	151
820	691	150
821	692	149
822	693	149
823	693	148
824	694	147
825	695	146
826	696	145
827	696	144
828	697	143
829	697	142
830	698	142
831	699	141
832	699	140
833	700	139
834	701	138
835	701	137
836	702	136
837	702	135
838	703	135
839	704	134
840	704	133
841	705	132
842	706	131
843	706	130
844	707	129
845	708	128
846	708	128
847	709	127
848	710	126
849	710	125
